"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"669",15,"Ryan Tannehill",FA,"QB66","-","-","-"
"670",15,"Joe Milton III",NE,"QB67","14","3 out of 5 stars","-"
"671",15,"Stetson Bennett",LAR,"QB68","6","4 out of 5 stars","-"
"672",15,"Clayton Tune",ARI,"QB69","11","2 out of 5 stars","-"
"673",15,"Jonathan Ward",PIT,"RB172","9","4 out of 5 stars","-"
"674",15,"Mike Boone",CAR,"RB173","11","4 out of 5 stars","-"
"675",15,"Equanimeous St. Brown",NO,"WR224","12","3 out of 5 stars","-"
"676",15,"Tyler Johnson",LAR,"WR225","6","3 out of 5 stars","-"
"677",15,"Jordan Scarlett",FA,"RB174","-","-","-"
"678",15,"Derrick Gore",FA,"RB175","-","-","-"
"679",15,"Jashaun Corbin",FA,"RB176","-","-","-"
"680",15,"Brandon Bolden",FA,"RB177","-","-","-"
"681",15,"Jason Brownlee",FA,"WR226","-","-","-"
"682",15,"Patrick Laird",FA,"RB178","-","-","-"
"683",16,"Deven Thompkins",FA,"WR227","-","-","-"
"684",16,"Dontrell Hilliard",FA,"RB179","-","-","-"
"685",16,"Russell Gage",FA,"WR228","-","-","-"
"686",16,"River Cracraft",MIA,"WR229","6","2 out of 5 stars","-"
"687",16,"Jermar Jefferson",DET,"RB180","5","3 out of 5 stars","-"
"688",16,"Ty Montgomery II",FA,"RB181","-","-","-"
"689",16,"Anthony McFarland Jr.",FA,"RB182","-","-","-"
"690",16,"Logan Parker",FA,"TE140","-","-","-"
"691",16,"Snoop Conner",FA,"RB183","-","-","-"
"692",16,"Chris Conley",SF,"WR230","9","2 out of 5 stars","-"
"693",16,"Wendell Smallwood",FA,"RB184","-","-","-359"
"694",16,"Jonathan Williams",FA,"RB185","-","-","-"
"695",16,"Pooka Williams Jr.",FA,"RB186","-","-","-"
"696",16,"Bisi Johnson",FA,"WR231","-","-","-"
"697",16,"Tulu Griffin",CLE,"WR232","10","3 out of 5 stars","-"
"698",16,"Miles Boykin",NYG,"WR233","11","3 out of 5 stars","-"
"699",16,"John Ross",FA,"WR234","-","-","-"
"700",16,"Dee Eskridge",MIA,"WR235","6","2 out of 5 stars","-"
"701",16,"Alex Erickson",FA,"WR236","-","-","-"
"702",16,"Devron Harper",FA,"WR237","-","-","-"
"703",16,"Jeff Foreman",LV,"WR238","10","3 out of 5 stars","-"
"704",16,"Josh Ali",FA,"WR239","-","-","-"
"705",16,"Tejhaun Palmer",ARI,"WR240","11","3 out of 5 stars","-"
"706",16,"Lynn Bowden Jr.",FA,"WR241","-","-","-"
"707",16,"Ty James",FA,"WR242","-","-","-"
"708",16,"Marquez Callaway",FA,"WR243","-","-","-"
"709",16,"Tre'Quan Smith",DET,"WR244","5","4 out of 5 stars","-"
"710",16,"Nikko Remigio",KC,"WR245","6","3 out of 5 stars","-"
"711",16,"Marquise Goodwin",FA,"WR246","-","-","-"
"712",16,"Lil'Jordan Humphrey",DEN,"WR247","14","2 out of 5 stars","-"
"713",16,"Justin Shorter",LV,"WR248","10","3 out of 5 stars","-"
"714",16,"Britain Covey",PHI,"WR249","5","2 out of 5 stars","-"
"715",16,"Laquon Treadwell",IND,"WR250","14","4 out of 5 stars","-"
"716",16,"Stanley Morgan Jr.",FA,"WR251","-","-","-"
"717",16,"Mike Strachan",FA,"WR252","-","-","-"
"718",16,"Irvin Charles",NYJ,"WR253","12","4 out of 5 stars","-"
"719",16,"Daniel Arias",FA,"WR254","-","-","-"
"720",16,"Quintez Cephus",FA,"WR255","-","-","-"
"721",16,"Juwann Winfree",IND,"WR256","14","4 out of 5 stars","-"
"722",16,"Tim Jones",JAC,"WR257","12","4 out of 5 stars","-"
"723",16,"Hakeem Butler",FA,"WR258","-","-","-"
"724",16,"Lance McCutcheon",NYJ,"WR259","12","4 out of 5 stars","-"
"725",16,"Kaylon Geiger Sr.",FA,"WR260","-","-","-"
"726",16,"Trent Taylor",SF,"WR261","9","2 out of 5 stars","-"
"727",16,"Randall Cobb",FA,"WR262","-","-","-"
"728",16,"Jeff Cotton Jr.",FA,"WR263","-","-","-"
"729",16,"Austin Trammell",JAC,"WR264","12","4 out of 5 stars","-"
"730",16,"Malik Taylor",NYJ,"WR265","12","4 out of 5 stars","-"
"731",16,"Danny Gray",FA,"WR266","-","-","-"
"732",16,"Cody Thompson",TB,"WR267","11","3 out of 5 stars","-"
"733",16,"Willie Snead IV",FA,"WR268","-","-","-"
"734",16,"Penny Hart",FA,"WR269","-","-","-"
"735",16,"D.J. Montgomery",IND,"WR270","14","4 out of 5 stars","-"
"736",16,"James Proche II",CLE,"WR271","10","3 out of 5 stars","-"
"737",16,"Dax Milne",FA,"WR272","-","-","-"
"738",16,"Marcus Kemp",FA,"WR273","-","-","-"
