"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"46",4,"Davante Adams",LAR,"WR23","11","3 out of 5","4 out of 5","1 out of 5 stars","+12"
"47",4,"Drake Maye",NE,"QB3","11","5 out of 5","1 out of 5","2 out of 5 stars","+5"
"48",4,"Luther Burden III",CHI,"WR24","10","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"49",4,"D'Andre Swift",CHI,"RB19","10","3 out of 5","3 out of 5","2 out of 5 stars","+1"
"50",4,"Cam Skattebo",NYG,"RB20","8","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"51",4,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","-2"
"52",4,"Jameson Williams",DET,"WR25","6","4 out of 5","3 out of 5","4 out of 5 stars","+9"
"53",4,"Quinshon Judkins",CLE,"RB21","11","4 out of 5","4 out of 5","3 out of 5 stars","-8"
"54",4,"Bucky Irving",TB,"RB22","10","2 out of 5","4 out of 5","2 out of 5 stars","-7"
"55",4,"David Montgomery",HOU,"RB23","8","4 out of 5","2 out of 5","4 out of 5 stars","-7"
"56",4,"DJ Moore",BUF,"WR26","7","4 out of 5","2 out of 5","4 out of 5 stars","-5"
"57",4,"Christian Watson",GB,"WR27","11","4 out of 5","4 out of 5","5 out of 5 stars","+9"
"58",4,"Mike Evans",SF,"WR28","8","4 out of 5","3 out of 5","2 out of 5 stars","+5"
"59",4,"Rome Odunze",CHI,"WR29","10","4 out of 5","3 out of 5","3 out of 5 stars","+5"
"60",4,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","-7"
"61",4,"Bhayshul Tuten",JAC,"RB24","7","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"62",4,"TreVeyon Henderson",NE,"RB25","11","4 out of 5","3 out of 5","2 out of 5 stars","-7"
"63",5,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"64",5,"Jadarian Price",SEA,"RB26","11","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"65",5,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","-3"
"66",5,"Parker Washington",JAC,"WR30","7","4 out of 5","3 out of 5","4 out of 5 stars","+4"
"67",5,"Tucker Kraft",GB,"TE5","11","5 out of 5","3 out of 5","2 out of 5 stars","-2"
"68",5,"Marvin Harrison Jr.",ARI,"WR31","14","3 out of 5","4 out of 5","2 out of 5 stars","+8"
"69",5,"Carnell Tate",TEN,"WR32","9","4 out of 5","3 out of 5","3 out of 5 stars","+3"
"70",5,"Jaylen Warren",PIT,"RB27","9","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"71",5,"Rhamondre Stevenson",NE,"RB28","11","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"72",5,"Caleb Williams",CHI,"QB7","10","4 out of 5","2 out of 5","3 out of 5 stars","-1"
"73",5,"Brian Thomas Jr.",JAC,"WR33","7","2 out of 5","4 out of 5","4 out of 5 stars","+1"
"74",5,"Harold Fannin Jr.",CLE,"TE6","11","4 out of 5","3 out of 5","3 out of 5 stars","-7"
"75",5,"Tony Pollard",TEN,"RB29","9","4 out of 5","3 out of 5","3 out of 5 stars","+4"
"76",5,"DK Metcalf",PIT,"WR34","9","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"77",5,"Justin Herbert",LAC,"QB8","7","5 out of 5","2 out of 5","2 out of 5 stars","0"
"78",5,"Sam LaPorta",DET,"TE7","6","4 out of 5","3 out of 5","3 out of 5 stars","-9"
"79",5,"Rico Dowdle",PIT,"RB30","9","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"80",5,"Chris Godwin Jr.",TB,"WR35","10","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"81",5,"Kyle Pitts Sr.",ATL,"TE8","11","4 out of 5","4 out of 5","3 out of 5 stars","-6"
"82",5,"Courtland Sutton",DEN,"WR36","10","2 out of 5","4 out of 5","2 out of 5 stars","+6"
"83",5,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+1"
"84",5,"Jonathon Brooks",CAR,"RB31","5","4 out of 5","4 out of 5","1 out of 5 stars","+1"
"85",5,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","-5"
"86",5,"J.K. Dobbins",DEN,"RB32","10","4 out of 5","4 out of 5","2 out of 5 stars","0"
"87",5,"Michael Pittman Jr.",PIT,"WR37","9","4 out of 5","3 out of 5","3 out of 5 stars","+22"
"88",5,"Michael Wilson",ARI,"WR38","14","-","-","2 out of 5 stars","-1"
"89",6,"Quentin Johnston",LAC,"WR39","7","4 out of 5","4 out of 5","2 out of 5 stars","+16"
"90",6,"Blake Corum",LAR,"RB33","11","4 out of 5","4 out of 5","5 out of 5 stars","+5"
"",6
"91",6,"Alec Pierce",IND,"WR40","13","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"92",6,"Chuba Hubbard",CAR,"RB34","5","2 out of 5","4 out of 5","1 out of 5 stars","-11"
"93",6,"Josh Downs",IND,"WR41","13","4 out of 5","4 out of 5","4 out of 5 stars","+14"
"94",6,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"95",6,"RJ Harvey",DEN,"RB35","10","2 out of 5","4 out of 5","2 out of 5 stars","-12"
"96",6,"Wan'Dale Robinson",TEN,"WR42","9","4 out of 5","3 out of 5","3 out of 5 stars","+24"
"97",6,"Stefon Diggs",WAS,"WR43","7","4 out of 5","2 out of 5","2 out of 5 stars","+14"
"98",6,"Jacory Croskey-Merritt",WAS,"RB36","7","4 out of 5","4 out of 5","4 out of 5 stars","0"
"99",6,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+7"
"100",6,"Jordan Addison",MIN,"WR44","6","4 out of 5","3 out of 5","5 out of 5 stars","+10"
"101",6,"Travis Kelce",KC,"TE10","5","2 out of 5","3 out of 5","4 out of 5 stars","-5"
"102",6,"Kyle Monangai",CHI,"RB37","10","4 out of 5","4 out of 5","2 out of 5 stars","-11"
"103",6,"Kenny Gainwell",TB,"RB38","10","4 out of 5","3 out of 5","2 out of 5 stars","+5"
"104",6,"Jordan Mason",MIN,"RB39","6","4 out of 5","3 out of 5","4 out of 5 stars","-7"
"105",6,"Jaxson Dart",NYG,"QB12","8","4 out of 5","4 out of 5","4 out of 5 stars","-15"
"106",6,"Jayden Reed",GB,"WR45","11","4 out of 5","4 out of 5","5 out of 5 stars","+6"
"107",6,"Rachaad White",WAS,"RB40","7","4 out of 5","2 out of 5","4 out of 5 stars","+7"
"108",6,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","-4"
"109",6,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","-10"
"110",6,"Makai Lemon",PHI,"WR46","10","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"111",6,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","-11"
"112",6,"Jakobi Meyers",JAC,"WR47","7","2 out of 5","3 out of 5","4 out of 5 stars","+12"
"113",6,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-12"
"114",6,"Aaron Jones Sr.",MIN,"RB41","6","1 out of 5","4 out of 5","4 out of 5 stars","+2"
"115",6,"Jared Goff",DET,"QB16","6","4 out of 5","1 out of 5","5 out of 5 stars","0"
"116",6,"Dallas Goedert",PHI,"TE12","10","4 out of 5","3 out of 5","4 out of 5 stars","+3"
"117",6,"Isaiah Likely",NYG,"TE13","8","4 out of 5","4 out of 5","3 out of 5 stars","-14"
"118",6,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+5"
"119",6,"Mark Andrews",BAL,"TE14","13","4 out of 5","4 out of 5","4 out of 5 stars","-2"
"120",6,"KC Concepcion",CLE,"WR48","11","4 out of 5","3 out of 5","3 out of 5 stars","+13"
"121",6,"Chris Rodriguez Jr.",JAC,"RB42","7","3 out of 5","4 out of 5","4 out of 5 stars","+22"
"122",6,"Xavier Worthy",KC,"WR49","5","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"123",6,"Jake Ferguson",DAL,"TE15","14","2 out of 5","4 out of 5","2 out of 5 stars","-10"
"124",6,"Matthew Golden",GB,"WR50","11","3 out of 5","4 out of 5","5 out of 5 stars","+8"
"125",6,"Jalen Coker",CAR,"WR51","5","4 out of 5","3 out of 5","2 out of 5 stars","+34"
"126",6,"Baker Mayfield",TB,"QB18","10","3 out of 5","4 out of 5","2 out of 5 stars","+4"
"127",6,"Tyler Allgeier",ARI,"RB43","14","3 out of 5","4 out of 5","2 out of 5 stars","+11"
"128",6,"Khalil Shakir",BUF,"WR52","7","2 out of 5","4 out of 5","4 out of 5 stars","+24"
"129",6,"Jordyn Tyson",NO,"WR53","8","4 out of 5","5 out of 5","3 out of 5 stars","-37"
"130",6,"Jordan Love",GB,"QB19","11","4 out of 5","2 out of 5","4 out of 5 stars","+6"
"131",7,"Woody Marks",HOU,"RB44","8","3 out of 5","4 out of 5","4 out of 5 stars","+17"
"132",7,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+23"
"133",7,"Romeo Doubs",NE,"WR54","11","4 out of 5","3 out of 5","2 out of 5 stars","+9"
"134",7,"De'Zhaun Stribling",SF,"WR55","8","3 out of 5","4 out of 5","2 out of 5 stars","-9"
"135",7,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+26"
"136",7,"Juwan Johnson",NO,"TE16","8","4 out of 5","2 out of 5","2 out of 5 stars","+20"
"137",7,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+16"
"138",7,"Tyrone Tracy Jr.",NYG,"RB46","8","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"139",7,"Deebo Samuel Sr.",SF,"WR56","8","4 out of 5","3 out of 5","2 out of 5 stars","-10"
"140",7,"Tank Bigsby",PHI,"RB47","10","4 out of 5","2 out of 5","4 out of 5 stars","+24"
"141",7,"Jonah Coleman",DEN,"RB48","10","4 out of 5","4 out of 5","2 out of 5 stars","+10"
"142",7,"Zach Charbonnet",SEA,"RB49","11","3 out of 5","5 out of 5","4 out of 5 stars","-14"
"143",7,"Hunter Henry",NE,"TE17","11","1 out of 5","4 out of 5","4 out of 5 stars","+3"
"144",7,"Keaton Mitchell",LAC,"RB50","7","4 out of 5","4 out of 5","3 out of 5 stars","+21"
"145",7,"C.J. Stroud",HOU,"QB22","8","3 out of 5","4 out of 5","4 out of 5 stars","+18"
"146",7,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","3 out of 5","1 out of 5 stars","+12"
"147",7,"Brenton Strange",JAC,"TE19","7","4 out of 5","3 out of 5","3 out of 5 stars","+7"
"148",7,"Sam Darnold",SEA,"QB23","11","1 out of 5","4 out of 5","4 out of 5 stars","-4"
"149",7,"Dylan Sampson",CLE,"RB51","11","4 out of 5","2 out of 5","3 out of 5 stars","+20"
"150",7,"Alvin Kamara",NO,"RB52","8","2 out of 5","4 out of 5","3 out of 5 stars","-16"
"151",7,"Denzel Boston",CLE,"WR57","11","4 out of 5","4 out of 5","3 out of 5 stars","+17"
"152",7,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+26"
"153",7,"Rashid Shaheed",SEA,"WR58","11","3 out of 5","4 out of 5","3 out of 5 stars","-16"
"154",7,"Dalton Schultz",HOU,"TE20","8","3 out of 5","2 out of 5","4 out of 5 stars","+31"
"155",7,"Brian Robinson Jr.",ATL,"RB53","11","2 out of 5","4 out of 5","2 out of 5 stars","-14"
"156",7,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+16"
"157",7,"Isiah Pacheco",DET,"RB54","6","3 out of 5","4 out of 5","5 out of 5 stars","-7"
"158",7,"Adonai Mitchell",NYJ,"WR59","13","4 out of 5","4 out of 5","4 out of 5 stars","+78"
"159",7,"Tre Tucker",LV,"WR60","13","4 out of 5","2 out of 5","2 out of 5 stars","+58"
"160",7,"Jalen McMillan",TB,"WR61","10","4 out of 5","3 out of 5","4 out of 5 stars","+23"
"161",7,"Jerry Jeudy",CLE,"WR62","11","2 out of 5","4 out of 5","3 out of 5 stars","+50"
"162",7,"T.J. Hockenson",MIN,"TE21","6","2 out of 5","4 out of 5","4 out of 5 stars","+9"
"163",7,"Jauan Jennings",MIN,"WR63","6","2 out of 5","4 out of 5","5 out of 5 stars","+14"
"164",7,"MarShawn Lloyd",GB,"RB55","11","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"165",7,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+41"
"166",7,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+7"
"167",7,"Oronde Gadsden II",LAC,"TE22","7","3 out of 5","4 out of 5","4 out of 5 stars","-10"
"168",8,"AJ Barner",SEA,"TE23","11","4 out of 5","2 out of 5","3 out of 5 stars","+16"
"169",8,"Jalen Nailor",LV,"WR64","13","-","-","2 out of 5 stars","-9"
"170",8,"Tre' Harris",LAC,"WR65","7","4 out of 5","2 out of 5","2 out of 5 stars","+53"
"171",8,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+48"
"172",8,"Omar Cooper Jr.",NYJ,"WR67","13","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"173",8,"Ray Davis",BUF,"RB57","7","4 out of 5","4 out of 5","2 out of 5 stars","+54"
"174",8,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","5 out of 5","2 out of 5 stars","+56"
"175",8,"Emmett Johnson",KC,"RB58","5","4 out of 5","4 out of 5","3 out of 5 stars","+50"
"176",8,"Ryan Flournoy",DAL,"WR68","14","4 out of 5","2 out of 5","2 out of 5 stars","+81"
"177",8,"Sean Tucker",TB,"RB59","10","3 out of 5","4 out of 5","2 out of 5 stars","+65"
"178",8,"Pat Bryant",DEN,"WR69","10","3 out of 5","4 out of 5","2 out of 5 stars","+69"
"179",8,"Malik Washington",MIA,"WR70","6","2 out of 5","4 out of 5","3 out of 5 stars","+30"
"180",8,"Terrance Ferguson",LAR,"TE24","11","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"181",8,"Kenyon Sadiq",NYJ,"TE25","13","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"182",8,"Keenan Allen",IND,"WR71","13","3 out of 5","4 out of 5","4 out of 5 stars","+49"
"183",8,"Mike Washington Jr.",LV,"RB60","13","3 out of 5","4 out of 5","2 out of 5 stars","-13"
"184",8,"Tank Dell",HOU,"WR72","8","4 out of 5","4 out of 5","3 out of 5 stars","+24"
"185",8,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-64"
"186",8,"Gunnar Helm",TEN,"TE26","9","3 out of 5","3 out of 5","3 out of 5 stars","+54"
"187",8,"Nicholas Singleton",TEN,"RB61","9","3 out of 5","4 out of 5","3 out of 5 stars","+34"
"188",8,"Jaylin Noel",HOU,"WR73","8","4 out of 5","4 out of 5","3 out of 5 stars","+117"
"189",8,"Travis Hunter",JAC,"WR74","7","3 out of 5","4 out of 5","4 out of 5 stars","-8"
"190",8,"Kayshon Boutte",NE,"WR75","11","3 out of 5","4 out of 5","2 out of 5 stars","+28"
"191",8,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-65"
"192",8,"Kimani Vidal",LAC,"RB62","7","2 out of 5","4 out of 5","3 out of 5 stars","+53"
"193",8,"Calvin Ridley",TEN,"WR76","9","2 out of 5","4 out of 5","3 out of 5 stars","+29"
"194",8,"Los Angeles Rams",LAR,"DST3","11","-","-","2 out of 5 stars","-72"
"195",8,"Seattle Seahawks",SEA,"DST4","11","-","-","2 out of 5 stars","-68"
"196",8,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-51"
"197",8,"Kaytron Allen",WAS,"RB63","7","3 out of 5","4 out of 5","4 out of 5 stars","+47"
"198",8,"Aaron Rodgers",PIT,"QB28","9","1 out of 5","4 out of 5","2 out of 5 stars","-19"
"199",8,"Geno Smith",NYJ,"QB29","13","2 out of 5","4 out of 5","4 out of 5 stars","+40"
"200",8,"Jacksonville Jaguars",JAC,"DST6","7","-","-","3 out of 5 stars","-12"
"201",8,"Cade Otton",TB,"TE27","10","3 out of 5","4 out of 5","2 out of 5 stars","+40"
"202",8,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-35"
"203",8,"Pat Freiermuth",PIT,"TE28","9","3 out of 5","3 out of 5","2 out of 5 stars","-8"
"204",8,"Pittsburgh Steelers",PIT,"DST8","9","-","-","5 out of 5 stars","-14"
"205",8,"James Conner",ARI,"RB64","14","3 out of 5","4 out of 5","2 out of 5 stars","-11"
"206",8,"Los Angeles Chargers",LAC,"DST9","7","-","-","3 out of 5 stars","-15"
"207",8,"Minnesota Vikings",MIN,"DST10","6","-","-","1 out of 5 stars","-27"
"208",8,"Rashod Bateman",BAL,"WR77","13","3 out of 5","4 out of 5","4 out of 5 stars","+74"
"209",8,"Oscar Delp",NO,"TE29","8","4 out of 5","4 out of 5","2 out of 5 stars","-"
"210",8,"Isaac TeSlaa",DET,"WR78","6","3 out of 5","4 out of 5","4 out of 5 stars","-17"
"211",8,"Emanuel Wilson",SEA,"RB65","11","3 out of 5","4 out of 5","4 out of 5 stars","+69"
"212",8,"Brandon Aubrey",DAL,"K1","14","4 out of 5","1 out of 5","2 out of 5 stars","-94"
"213",8,"Jaydon Blue",DAL,"RB66","14","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"214",8,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-22"
"215",8,"Ka'imi Fairbairn",HOU,"K2","8","5 out of 5","1 out of 5","2 out of 5 stars","-76"
"216",8,"Cameron Dicker",LAC,"K3","7","5 out of 5","1 out of 5","2 out of 5 stars","-76"
"217",8,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-55"
"218",8,"Troy Franklin",DEN,"WR79","10","1 out of 5","5 out of 5","2 out of 5 stars","+74"
"219",8,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","+13"
"220",8,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-73"
"221",9,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-55"
"222",9,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-24"
"223",9,"Darnell Mooney",NYG,"WR80","8","3 out of 5","4 out of 5","4 out of 5 stars","+56"
"224",9,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-23"
"225",9,"Eddy Pineiro",SF,"K7","8","4 out of 5","1 out of 5","5 out of 5 stars","-28"
"226",9,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-40"
"227",9,"George Holani",SEA,"RB67","11","3 out of 5","4 out of 5","4 out of 5 stars","+35"
"228",9,"Jaylen Wright",MIA,"RB68","6","-","-","3 out of 5 stars","+27"
"229",9,"Buffalo Bills",BUF,"DST14","7","-","-","3 out of 5 stars","+9"
"230",9,"Cooper Kupp",SEA,"WR81","11","3 out of 5","4 out of 5","3 out of 5 stars","-34"
"231",9,"Cairo Santos",CHI,"K9","10","4 out of 5","3 out of 5","0 out of 5 stars","+6"
"232",9,"Colby Parkinson",LAR,"TE30","11","-","-","4 out of 5 stars","+43"
"233",9,"Detroit Lions",DET,"DST15","6","-","-","5 out of 5 stars","-26"
"234",9,"Harrison Mevis",LAR,"K10","11","4 out of 5","2 out of 5","2 out of 5 stars","-47"
"235",9,"Ollie Gordon II",MIA,"RB69","6","3 out of 5","4 out of 5","3 out of 5 stars","+104"
"236",9,"David Njoku",LAC,"TE31","7","4 out of 5","4 out of 5","4 out of 5 stars","-60"
"237",9,"Chase McLaughlin",TB,"K11","10","4 out of 5","2 out of 5","3 out of 5 stars","-25"
"238",9,"Evan Engram",DEN,"TE32","10","-","-","4 out of 5 stars","+36"
"239",9,"Germie Bernard",PIT,"WR82","9","3 out of 5","4 out of 5","3 out of 5 stars","+21"
"240",9,"Zachariah Branch",ATL,"WR83","11","2 out of 5","4 out of 5","3 out of 5 stars","-14"
"241",9,"Tua Tagovailoa",ATL,"QB31","11","1 out of 5","4 out of 5","4 out of 5 stars","+2"
"242",9,"Evan McPherson",CIN,"K12","6","4 out of 5","2 out of 5","2 out of 5 stars","-27"
"243",9,"Jack Bech",LV,"WR84","13","3 out of 5","4 out of 5","2 out of 5 stars","+89"
"244",9,"Andy Borregales",NE,"K13","11","-","-","1 out of 5 stars","-40"
"245",9,"Justice Hill",BAL,"RB70","13","-","-","3 out of 5 stars","-17"
"246",9,"Antonio Williams",WAS,"WR85","7","4 out of 5","2 out of 5","2 out of 5 stars","+18"
"247",9,"Malachi Fields",NYG,"WR86","8","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"248",9,"Devaughn Vele",NO,"WR87","8","-","-","3 out of 5 stars","+30"
"249",9,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","+1"
"250",9,"Chris Brooks",GB,"RB71","11","2 out of 5","4 out of 5","4 out of 5 stars","+101"
"251",9,"Demond Claiborne",MIN,"RB72","6","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"252",9,"Isaiah Davis",NYJ,"RB73","13","2 out of 5","4 out of 5","3 out of 5 stars","+103"
"253",9,"Elic Ayomanor",TEN,"WR88","9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"254",9,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-51"
"255",9,"Tory Horton",SEA,"WR89","11","4 out of 5","4 out of 5","3 out of 5 stars","+33"
"256",9,"Ted Hurst III",TB,"WR90","10","4 out of 5","4 out of 5","4 out of 5 stars","+15"
"257",9,"Kaelon Black",SF,"RB74","8","3 out of 5","4 out of 5","2 out of 5 stars","-33"
"258",9,"Chris Boswell",PIT,"K15","9","-","-","4 out of 5 stars","-48"
"259",9,"Samaje Perine",CIN,"RB75","6","2 out of 5","4 out of 5","2 out of 5 stars","+24"
"260",9,"Keon Coleman",BUF,"WR91","7","2 out of 5","4 out of 5","4 out of 5 stars","+9"
"261",9,"Chimere Dike",TEN,"WR92","9","1 out of 5","5 out of 5","3 out of 5 stars","+96"
"262",9,"Jordan James",SF,"RB76","8","2 out of 5","4 out of 5","2 out of 5 stars","-11"
"263",9,"Chris Bell",MIA,"WR93","6","3 out of 5","4 out of 5","3 out of 5 stars","+13"
"264",9,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-10"
